Date,Narration,Reference,Debit,Credit,Balance
01/04/2024,UPI/SWIGGY/Order food,UPI/900001,850.00,,254150.00
02/04/2024,JIO PREPAID RECHARGE,BIL/900002,999.00,,253151.00
03/04/2024,NEFT RENT APRIL SHOP,NEFT/900003,35000.00,,218151.00
04/04/2024,SALARY APRIL STAFF,SAL/900004,120000.00,,98151.00
05/04/2024,MSEB ELECTRICITY BILL,BIL/900005,4200.00,,93951.00
06/04/2024,UPI/ZOMATO/Team lunch,UPI/900006,640.00,,93311.00
07/04/2024,IOCL PETROL PUMP,POS/900007,2000.00,,91311.00
08/04/2024,AIRTEL POSTPAID BILL,BIL/900008,1499.00,,89812.00
09/04/2024,AWS CLOUD SERVICES,POS/900009,7200.00,,82612.00
10/04/2024,UBER TRIP CLIENT MEETING,UPI/900010,320.00,,82292.00
11/04/2024,AMAZON RETAIL PURCHASE,POS/900011,3499.00,,78793.00
12/04/2024,BANK CHARGES AMC,CHG/900012,590.00,,78203.00
13/04/2024,GST PAYMENT CGST SGST,GST/900013,18000.00,,60203.00
14/04/2024,LIC PREMIUM ECS,ECS/900014,6500.00,,53703.00
15/04/2024,GOOGLE WORKSPACE SUBSCRIPTION,POS/900015,1350.00,,52353.00
16/04/2024,SAVINGS INTEREST CREDIT,INT/900016,,1240.00,53593.00
17/04/2024,CONSULTING FEE RECEIVED ABC LTD,NEFT/900017,,90000.00,143593.00
18/04/2024,OLA CABS,UPI/900018,280.00,,143313.00
19/04/2024,UPI/402910473821/PAYMENT,UPI/402910473821,5000.00,,138313.00
20/04/2024,ATM CASH WITHDRAWAL,ATMWDL/6621,10000.00,,128313.00
21/04/2024,IMPS/509182734/TRANSFER,IMPS/509182734,15000.00,,113313.00
22/04/2024,NEFT/JD8890/JOHN DOE,NEFT/JD8890,,25000.00,138313.00
23/04/2024,CASH DEPOSIT BRANCH,CASHDEP/1121,,8000.00,146313.00
24/04/2024,BSNL BROADBAND BILL,BIL/900024,1200.00,,145113.00
25/04/2024,HP PETROL FILL,POS/900025,1800.00,,143313.00
